index,lat,long,speed,date,time,air_val,dust,gsr
0,51.538137,-0.060680,0.37,230324,12554600,16,0.00,682
1,51.538312,-0.060822,0.24,230324,12560500,51,0.00,682
2,51.538315,-0.060825,0.55,230324,12560600,50,0.00,681
3,51.538315,-0.060832,0.53,230324,12560700,51,0.00,682
4,51.538315,-0.060827,0.44,230324,12560800,51,0.00,681
5,51.538305,-0.060828,0.32,230324,12560900,51,0.00,682
6,51.538303,-0.060818,0.69,230324,12561000,51,0.00,681
7,51.538302,-0.060815,0.66,230324,12561100,51,0.00,683
8,51.538300,-0.060813,0.59,230324,12561200,51,0.00,684
9,51.538298,-0.060812,0.00,230324,12561300,50,0.62,683
10,51.538297,-0.060808,0.00,230324,12561400,51,0.62,680
11,51.538292,-0.060807,0.00,230324,12561500,50,0.62,682
12,51.538292,-0.060807,0.00,230324,12561700,51,0.62,682
13,51.538292,-0.060807,0.00,230324,12561800,50,0.62,683
14,51.538292,-0.060807,0.00,230324,12561900,50,0.62,682
15,51.538292,-0.060807,0.00,230324,12562000,50,0.62,682
16,51.538308,-0.060788,1.28,230324,12562100,50,0.62,683
17,51.538315,-0.060780,4.48,230324,12562200,51,0.62,682
18,51.538322,-0.060777,0.00,230324,12562300,51,0.62,683
19,51.538320,-0.060772,0.00,230324,12562400,51,0.62,682
20,51.538327,-0.060782,0.00,230324,12562500,50,0.62,682
21,51.538330,-0.060777,1.88,230324,12562600,50,0.62,683
22,51.538335,-0.060773,1.90,230324,12562700,51,0.62,683
23,51.538338,-0.060772,1.12,230324,12562800,51,0.62,682
24,51.538377,-0.060843,1.12,230324,12563000,51,0.62,682
25,51.538398,-0.060877,7.10,230324,12563100,51,0.62,683
26,51.538417,-0.060887,7.10,230324,12563200,51,0.62,682
27,51.538437,-0.060905,7.10,230324,12563300,50,0.62,682
28,51.538452,-0.060935,6.02,230324,12563400,50,0.62,683
29,51.538460,-0.060933,2.20,230324,12563500,51,0.62,683
30,51.538462,-0.060935,0.00,230324,12563600,50,0.62,682
31,51.538468,-0.060943,0.00,230324,12563700,50,0.62,682
32,51.538475,-0.060945,0.97,230324,12563800,50,0.62,682
33,51.538492,-0.060953,0.00,230324,12563900,51,0.62,683
34,51.538493,-0.060948,0.00,230324,12564000,50,0.62,683
35,51.538503,-0.060928,0.00,230324,12564200,50,0.62,683
36,51.538513,-0.060925,0.00,230324,12564300,51,0.62,682
37,51.538522,-0.060928,0.00,230324,12564400,50,0.62,683
38,51.538530,-0.060932,2.04,230324,12564500,50,0.62,682
39,51.538537,-0.060940,2.15,230324,12564600,50,0.62,682
